Interface,XSI,POSIX Base,U98,U95,P96 P92,C99,C89,SVID3,BSD,LSB 1.3,OpenVMS 7.3-2
fstatvfs(),m,xsi,m,m,.,.,.,m,.,libc,m
fsync(),m,fsc,m,m,.,.,.,m,m,libc,m
ftell(),m,m,m,m,m,m,m,m,m,libc,m
ftello64(),.,.,.,.,.,.,.,.,.,libc,.
ftello(),m,m,m,.,.,.,.,.,.,libc,m
ftime(),l,xsi,m,m,.,.,.,.,m,libc,m
ftok(),m,xsi,m,m,.,.,.,.,.,libc,.
ftruncate64(),.,.,.,.,.,.,.,.,.,libc,.
ftruncate(),m,m,m,m,.,.,.,.,.,libc,m
ftrylockfile(),m,tsf,m,.,t,.,.,.,.,libc,.
ftw64(),.,.,.,.,.,.,.,.,.,libc,.
ftw(),m,xsi,m,m,.,.,.,m,.,libc,m
funlockfile(),m,tsf,m,.,t,.,.,.,.,libc,.
fwide(),m,m,m,.,.,m,1,.,.,libc,m
fwprintf(),m,m,m,.,.,m,1,.,.,libc,m
fwrite(),m,m,m,m,m,m,m,m,m,libc,m
fwscanf(),m,m,m,.,.,m,1,.,.,libc,m
__fxstat64(),.,.,.,.,.,.,.,.,.,libc,.
__fxstat(),.,.,.,.,.,.,.,.,.,libc,.
gai_strerror(),m,m,.,.,.,.,.,.,.,libc,m
gammaf(),.,.,.,.,.,.,.,.,.,libm,.
gamma(),.,.,.,.,.,.,.,.,.,libm,.
gammal(),.,.,.,.,.,.,.,.,.,libm,.
gcvt(),l,xsi,m,m,.,.,.,.,m,libc,m
getaddrinfo(),m,m,.,.,.,.,.,.,.,libc,alpha
getchar(),m,m,m,m,m,m,m,m,m,libc,m
getchar_unlocked(),m,tsf,m,.,t,.,.,.,.,libc,.
getc(),m,m,m,m,m,m,m,m,m,libc,m
getcontext(),m,xsi,m,m,.,.,.,m,.,libc,.
getc_unlocked(),m,tsf,m,.,t,.,.,.,.,libc,.
getcwd(),m,m,m,m,m,.,.,m,.,libc,m
getdate_err,m,xsi,m,m,.,.,.,m,.,libc,.
getdate(),m,xsi,m,m,.,.,.,m,.,libc,.
getdomainname(),.,.,.,.,.,.,.,.,.,libc,.
getegid(),m,m,m,m,m,.,.,m,m,libc,m
getenv(),m,m,m,m,m,m,m,m,m,libc,m
geteuid(),m,m,m,m,m,.,.,m,m,libc,m
getgid(),m,m,m,m,m,.,.,m,m,libc,m
getgrent(),m,xsi,m,m,.,.,.,m,m,libc,alpha
getgrgid(),m,m,m,m,m,.,.,m,m,libc,alpha
getgrgid_r(),m,tsf,m,.,t,.,.,.,.,libc,alpha
getgrnam(),m,m,m,m,m,.,.,m,.,libc,alpha
getgrnam_r(),m,tsf,m,.,t,.,.,.,.,libc,alpha
getgroups(),m,m,m,m,m,.,.,m,m,libc,m
gethostbyaddr(),ob,ob,m,m,.,.,.,.,m,libc,m
gethostbyname(),ob,ob,m,m,.,.,.,.,m,libc,m
gethostbyname_r(),.,.,.,.,.,.,.,.,.,libc,.
gethostent(),m,m,m,m,.,.,.,.,m,.,m
gethostid(),m,xsi,m,m,.,.,.,.,m,libc,.
gethostname(),m,m,m,m,.,.,.,.,m,libc,m
getitimer(),m,xsi,m,m,.,.,.,m,m,libc,m
getloadavg(),.,.,.,.,.,.,.,.,.,libc,.
getlogin(),m,m,m,m,m,.,.,m,m,libc,m
